District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Temp_Range,Humidity_Range,Wind_Range,Avg_Temp,Avg_Humidity,Month,Day,Year,Temp_Humidity_Range,AvgTemp_AvgHumidity,WindInteraction,precipitation,precipitation_flag
Bhadradri Kothagudem,2025-01-09,0.0,13.73913043478261,30.55217391304348,46.42173913043479,96.71739130434784,0.0,4.595652173913043,16.81304347826087,50.29565217391304,4.595652173913043,22.14565217391304,71.5695652173913,1.0,9.0,2025,845.6229867674858,1584.9546975425328,21.12001890359168,0.0,0
Hanumakonda,2025-01-09,0.0,12.75,28.964285714285715,39.66428571428571,89.41428571428571,0.0,4.378571428571429,16.214285714285715,49.75,4.378571428571429,20.857142857142858,64.53928571428571,1.0,9.0,2025,806.6607142857143,1346.1051020408163,19.171887755102045,0.0,0
Hyderabad,2025-01-09,0.0,15.125,31.24375,32.98125,75.21875,0.0,9.4,16.11875,42.2375,9.4,23.184375,54.1,1.0,9.0,2025,680.8157031249999,1254.2746875,88.36000000000001,0.04,0
Jagtial,2025-01-09,0.0,11.235,30.49,32.18,95.855,0.0,4.1450000000000005,19.255,63.67499999999999,4.1450000000000005,20.8625,64.0175,1.0,9.0,2025,1226.0621249999997,1335.5650937499995,17.181025000000005,0.0,0
Jangaon,2025-01-09,0.0,12.875,29.20833333333333,39.85833333333333,85.49166666666667,0.0166666666666666,9.075,16.333333333333332,45.63333333333334,9.058333333333334,21.041666666666664,62.675,1.0,9.0,2025,745.3444444444445,1318.7864583333333,82.20437500000001,0.04,0
Jayashankar,2025-01-09,0.0,11.063636363636364,30.91818181818182,36.11818181818182,92.02727272727272,0.0,5.481818181818182,19.85454545454546,55.9090909090909,5.481818181818182,20.99090909090909,64.07272727272726,1.0,9.0,2025,1110.0495867768595,1344.9447933884296,30.0503305785124,0.04,0
Jogulamba Gadwal,2025-01-09,0.0,14.808333333333332,30.508333333333336,37.84166666666667,95.76666666666668,0.0,10.083333333333334,15.700000000000005,57.925,10.083333333333334,22.65833333333333,66.80416666666667,1.0,9.0,2025,909.4225000000002,1513.671076388889,101.67361111111111,0.0,0
Kamareddy,2025-01-09,0.0,11.016666666666666,29.0375,36.895833333333336,95.62083333333334,0.1708333333333333,5.995833333333334,18.02083333333333,58.725,5.825,20.02708333333333,66.25833333333334,1.0,9.0,2025,1058.2734375,1326.9611631944445,34.92572916666667,0.04,0
Karimnagar,2025-01-09,0.0,12.25,29.65625,33.9875,91.50625,0.01875,5.9875,17.40625,57.51875,5.96875,20.953125,62.746875,1.0,9.0,2025,1001.1857421875,1314.743115234375,35.737890625,0.04,0
Khammam,2025-01-09,0.0,15.295238095238094,31.514285714285712,44.18095238095238,96.24761904761904,0.0,3.461904761904762,16.21904761904762,52.06666666666668,3.461904761904762,23.404761904761905,70.21428571428572,1.0,9.0,2025,844.4717460317462,1643.3486394557826,11.984784580498868,0.04,0
Kumuram Bheem,2025-01-09,0.0,9.273333333333332,29.58,31.40666666666667,92.84666666666666,0.0,4.433333333333334,20.306666666666665,61.44,4.433333333333334,19.426666666666662,62.126666666666665,1.0,9.0,2025,1247.6416,1206.9140444444445,19.654444444444447,0.04,0
Mahabubabad,2025-01-09,0.0,14.105555555555556,30.3,44.888888888888886,89.86111111111111,0.0,6.405555555555555,16.194444444444443,44.97222222222223,6.405555555555555,22.202777777777776,67.375,1.0,9.0,2025,728.3001543209876,1495.9121527777777,41.03114197530864,0.0,0
Mahabubnagar,2025-01-09,0.0,13.452941176470588,30.794117647058822,36.26470588235294,89.65294117647058,0.0,5.305882352941176,17.341176470588234,53.38823529411764,5.305882352941176,22.123529411764707,62.95882352941176,1.0,9.0,2025,925.814809688581,1392.8713840830449,28.152387543252598,0.04,0
Mancherial,2025-01-09,0.0,11.31111111111111,30.30555555555556,32.53333333333333,91.92222222222222,0.0166666666666666,4.811111111111111,18.994444444444447,59.388888888888886,4.794444444444444,20.808333333333334,62.227777777777774,1.0,9.0,2025,1128.0589506172842,1294.8563425925925,23.066604938271603,0.0,0
Medak,2025-01-09,0.0,11.352380952380951,29.066666666666663,41.10952380952381,92.3952380952381,0.2761904761904762,8.285714285714286,17.714285714285715,51.28571428571429,8.00952380952381,20.20952380952381,66.75238095238095,1.0,9.0,2025,908.4897959183676,1349.0338321995464,66.36462585034015,0.0,0
Medchal-Malkajgiri,2025-01-09,0.0,13.393333333333334,30.14,34.7,78.76,0.02,7.319999999999999,16.746666666666666,44.06,7.3,21.766666666666666,56.73,1.0,9.0,2025,737.8581333333334,1234.823,53.43599999999999,0.04,0
Mulugu,2025-01-09,0.0,11.533333333333331,31.266666666666666,35.577777777777776,95.55555555555556,0.0,2.6222222222222222,19.73333333333333,59.97777777777778,2.6222222222222222,21.4,65.56666666666666,1.0,9.0,2025,1183.5614814814817,1403.1266666666666,6.876049382716049,0.0,0
Nagarkurnool,2025-01-09,0.0,13.855,29.27,40.675,89.89500000000001,0.05,8.68,15.415,49.22000000000001,8.629999999999999,21.5625,65.285,1.0,9.0,2025,758.7263000000002,1407.7078124999998,74.90839999999999,0.0,0
Nalgonda,2025-01-09,0.0,15.184375,30.403125,41.35625,90.146875,0.08125,7.1,15.21875,48.79062499999999,7.01875,22.79375,65.7515625,1.0,9.0,2025,742.5323242187499,1498.724677734375,49.833125,0.0,0
Narayanpet,2025-01-09,0.0,13.215384615384616,29.96153846153846,41.138461538461534,91.4923076923077,0.0,7.223076923076923,16.746153846153845,50.35384615384617,7.223076923076923,21.588461538461537,66.31538461538462,1.0,9.0,2025,843.2332544378701,1431.6471301775148,52.17284023668639,0.0,0
Nirmal,2025-01-09,0.0,10.473684210526317,29.78421052631579,34.805263157894736,89.98947368421052,0.0,5.005263157894737,19.310526315789478,55.18421052631579,5.005263157894737,20.12894736842105,62.39736842105263,1.0,9.0,2025,1065.6361495844876,1255.9933448753463,25.052659279778396,0.0,0
Nizamabad,2025-01-09,0.0,12.06969696969697,28.96969696969697,39.22121212121212,94.15151515151516,0.003030303030303,3.890909090909091,16.9,54.93030303030304,3.887878787878788,20.51969696969697,66.68636363636364,1.0,9.0,2025,928.3221212121211,1368.383973829201,15.127382920110197,0.0,0
Peddapalli,2025-01-09,0.0,12.157142857142857,31.12142857142857,36.25714285714286,92.35714285714286,0.0214285714285714,5.721428571428571,18.964285714285715,56.1,5.699999999999999,21.639285714285712,64.30714285714286,1.0,9.0,2025,1063.8964285714287,1391.560637755102,32.61214285714285,0.0,0
Rajanna Sircilla,2025-01-09,0.0,11.16153846153846,28.96153846153846,39.77692307692308,97.7,0.0,9.092307692307692,17.799999999999997,57.92307692307691,9.092307692307692,20.06153846153846,68.73846153846154,1.0,9.0,2025,1031.0307692307688,1378.9992899408282,82.67005917159763,0.0,0
Rangareddy,2025-01-09,0.0,11.333333333333334,30.00740740740741,34.977777777777774,89.0074074074074,0.0555555555555555,8.481481481481481,18.67407407407408,54.029629629629625,8.425925925925926,20.67037037037037,61.99259259259259,1.0,9.0,2025,1008.9533058984912,1281.4098491083676,71.46433470507544,0.0,0
Sangareddy,2025-01-09,0.0,10.671428571428573,28.375,41.75714285714286,91.87857142857142,0.0,5.903571428571429,17.70357142857143,50.12142857142856,5.903571428571429,19.523214285714285,66.81785714285714,1.0,9.0,2025,887.3282908163263,1304.4993431122448,34.85215561224491,0.0,0
Siddipet,2025-01-09,0.0,11.696153846153846,28.265384615384612,36.78076923076923,91.50384615384615,0.0,6.015384615384615,16.56923076923077,54.72307692307693,6.015384615384615,19.98076923076923,64.1423076923077,1.0,9.0,2025,906.7192899408284,1281.6126479289942,36.18485207100591,0.0,0
Suryapet,2025-01-09,0.0,16.31304347826087,30.469565217391303,48.90869565217392,90.49565217391304,0.0,6.221739130434782,14.156521739130431,41.586956521739125,6.221739130434782,23.39130434782609,69.70217391304348,1.0,9.0,2025,588.7266540642721,1630.424763705104,38.71003780718336,0.0,0
Vikarabad,2025-01-09,0.0,11.445,28.96,38.63,91.145,0.37,3.83,17.515,52.51500000000001,3.4599999999999995,20.2025,64.8875,1.0,9.0,2025,919.8002250000002,1310.8897187500002,13.251799999999998,0.0,0
Wanaparthy,2025-01-09,0.0,15.37142857142857,30.27142857142857,39.77857142857143,91.27142857142856,0.1071428571428571,8.428571428571429,14.900000000000002,51.49285714285715,8.321428571428571,22.82142857142857,65.525,1.0,9.0,2025,767.2435714285716,1495.3741071428572,70.13775510204081,0.04,0
Warangal,2025-01-09,0.0,12.853846153846153,29.407692307692308,43.13076923076923,90.63846153846154,0.0,7.492307692307692,16.553846153846155,47.50769230769231,7.492307692307692,21.130769230769232,66.88461538461539,1.0,9.0,2025,786.4350295857989,1413.3233727810652,56.13467455621302,0.04,0
Yadadri Bhuvanagiri,2025-01-09,0.0,13.011764705882356,30.123529411764707,39.311764705882354,86.36470588235295,0.0176470588235294,6.170588235294118,17.11176470588235,47.0529411764706,6.152941176470589,21.56764705882353,62.83823529411765,1.0,9.0,2025,805.1588581314879,1355.2728806228376,37.96726643598616,0.0,0
Adilabad,2025-01-10,0.0,9.994444444444444,29.238888888888887,34.45555555555555,87.19444444444444,0.0,6.311111111111111,19.24444444444444,52.738888888888894,6.311111111111111,19.616666666666667,60.825,1.0,10.0,2025,1014.9306172839504,1193.18375,39.83012345679012,0.0,0
Bhadradri Kothagudem,2025-01-10,0.0,14.869565217391305,30.678260869565214,44.452173913043474,96.2,0.0,3.9,15.808695652173911,51.74782608695653,3.9,22.77391304347826,70.32608695652173,1.0,10.0,2025,818.0656332703215,1601.6001890359166,15.21,0.0,0
Hanumakonda,2025-01-10,0.0,14.564285714285717,29.685714285714287,38.46428571428572,99.11428571428571,0.0,4.2,15.121428571428572,60.65,4.2,22.125,68.78928571428571,1.0,10.0,2025,917.1146428571428,1521.9629464285713,17.64,0.0,0
Hyderabad,2025-01-10,0.0,17.40625,28.9875,39.33125,85.35,0.2375,10.7875,11.58125,46.01875,10.55,23.196875,62.340625,1.0,10.0,2025,532.9546484375,1446.1076855468748,113.808125,0.04,0
Jagtial,2025-01-10,0.0,13.135,29.925,32.05,96.42,0.075,4.3950000000000005,16.79,64.37,4.32,21.53,64.235,1.0,10.0,2025,1080.7723,1382.97955,18.986400000000003,0.0,0
Jangaon,2025-01-10,0.0,14.066666666666668,29.116666666666664,41.275,97.39166666666668,0.0,6.708333333333333,15.049999999999995,56.11666666666667,6.708333333333333,21.591666666666665,69.33333333333333,1.0,10.0,2025,844.5558333333331,1497.022222222222,45.00173611111111,0.04,0
Jayashankar,2025-01-10,0.0,13.318181818181818,31.454545454545453,36.50909090909091,97.67272727272729,0.209090909090909,4.881818181818182,18.136363636363637,61.16363636363638,4.672727272727273,22.38636363636364,67.0909090909091,1.0,10.0,2025,1109.2859504132232,1501.921487603306,22.811404958677688,0.04,0
Jogulamba Gadwal,2025-01-10,0.0,16.400000000000002,29.1,48.208333333333336,95.025,1.4,12.675,12.699999999999996,46.816666666666656,11.275,22.75,71.61666666666666,1.0,10.0,2025,594.5716666666664,1629.2791666666665,142.91062499999998,0.0,0
Kamareddy,2025-01-10,0.0,13.545833333333334,28.59583333333333,36.28333333333333,92.85416666666669,0.2875,6.891666666666667,15.049999999999995,56.57083333333334,6.604166666666667,21.070833333333333,64.56875,1.0,10.0,2025,851.3910416666666,1360.5173697916666,45.51371527777778,0.04,0
Karimnagar,2025-01-10,0.0,14.475,29.70625,31.8875,93.91875,0.14375,5.8875,15.23125,62.03125,5.74375,22.090625,62.903125,1.0,10.0,2025,944.8134765625,1389.569345703125,33.816328125000005,0.04,0
Khammam,2025-01-10,0.0,15.609523809523813,30.90952380952381,42.82857142857143,94.6,0.0,3.4142857142857146,15.3,51.771428571428565,3.4142857142857146,23.259523809523813,68.71428571428571,1.0,10.0,2025,792.102857142857,1598.2615646258505,11.657346938775513,0.04,0
Kumuram Bheem,2025-01-10,0.0,10.146666666666668,29.826666666666664,32.413333333333334,93.66,0.0,3.3800000000000003,19.68,61.24666666666668,3.3800000000000003,19.986666666666665,63.03666666666668,1.0,10.0,2025,1205.3344000000002,1259.8928444444446,11.424400000000002,0.04,0
Mahabubabad,2025-01-10,0.0,14.788888888888888,29.81666666666667,47.400000000000006,95.39444444444445,0.0,5.666666666666667,15.027777777777782,47.99444444444444,5.666666666666667,22.302777777777777,71.39722222222223,1.0,10.0,2025,721.2498456790125,1592.3563811728395,32.111111111111114,0.0,0
Mahabubnagar,2025-01-10,0.0,14.976470588235294,28.723529411764705,48.129411764705885,94.07058823529412,0.3352941176470588,7.2,13.74705882352941,45.94117647058824,6.864705882352942,21.85,71.10000000000001,1.0,10.0,2025,631.5560553633218,1553.5350000000003,49.42588235294118,0.04,0
Mancherial,2025-01-10,0.0,12.255555555555556,30.38888888888889,34.0,94.99444444444444,0.0,5.927777777777778,18.133333333333333,60.99444444444445,5.927777777777778,21.322222222222223,64.49722222222223,1.0,10.0,2025,1106.032592592593,1375.224104938272,35.13854938271605,0.0,0
Medak,2025-01-10,0.0,13.961904761904762,28.504761904761907,39.1,94.56190476190476,0.1285714285714286,9.633333333333336,14.542857142857144,55.46190476190476,9.504761904761908,21.23333333333333,66.83095238095238,1.0,10.0,2025,806.5745578231292,1419.043888888889,91.56253968253972,0.0,0
Medchal-Malkajgiri,2025-01-10,0.0,15.393333333333334,28.273333333333333,41.21333333333334,87.69333333333334,0.1133333333333333,9.873333333333331,12.88,46.48,9.76,21.833333333333336,64.45333333333335,1.0,10.0,2025,598.6624,1407.2311111111117,96.36373333333331,0.04,0
Mulugu,2025-01-10,0.0,13.122222222222222,31.366666666666667,35.166666666666664,97.78888888888888,0.0,2.9444444444444446,18.244444444444447,62.62222222222223,2.9444444444444446,22.244444444444444,66.47777777777777,1.0,10.0,2025,1142.507654320988,1478.761234567901,8.669753086419755,0.0,0
